study_word,test,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
,o_a_n_e,"orange
",[0.022222222222222223],[-0.28055555555555556],[1],[0],[0],[8.914981600129977],['text_3'],589093,1,2022-10-14_12h00.43.030,Tutorial 5,2022.2.4,59.83931943
,c_s_h_o_n,cushion,[-0.012037037037037037],[-0.2537037037037037],[1],[0],[0],[3.8421480001416057],['text_3'],589093,1,2022-10-14_12h00.43.030,Tutorial 5,2022.2.4,59.83931943
,_oo_,book,[-0.023148148148148147],[-0.27314814814814814],[1],[0],[0],[3.009706199867651],['text_3'],589093,1,2022-10-14_12h00.43.030,Tutorial 5,2022.2.4,59.83931943
,_ea_o_,pea,[],[],[],[],[],[],[],589093,1,2022-10-14_12h00.43.030,Tutorial 5,2022.2.4,59.83931943
,_p_a_d_,,[],[],[],[],[],[],[],589093,1,2022-10-14_12h00.43.030,Tutorial 5,2022.2.4,59.83931943
,_a_e,,[-0.023148148148148147],[-0.27314814814814814],[1],[0],[0],[8.562178599881008],['text_3'],589093,1,2022-10-14_12h00.43.030,Tutorial 5,2022.2.4,59.83931943
,_ia_n_,piano,[-0.023148148148148147],[-0.27314814814814814],[1],[0],[0],[2.6765041002072394],['text_3'],589093,1,2022-10-14_12h00.43.030,Tutorial 5,2022.2.4,59.83931943
,_o_s_,,[-0.023148148148148147],[-0.27314814814814814],[1],[0],[0],[5.793226200155914],['text_3'],589093,1,2022-10-14_12h00.43.030,Tutorial 5,2022.2.4,59.83931943
,c_m_r_,camera,[0.028703703703703703],[-0.2740740740740741],[1],[0],[0],[4.809854599880055],['text_3'],589093,1,2022-10-14_12h00.43.030,Tutorial 5,2022.2.4,59.83931943
,t_g_r,tiger,[-0.001851851851851852],[-0.27314814814814814],[1],[0],[0],[3.877996399998665],['text_3'],589093,1,2022-10-14_12h00.43.030,Tutorial 5,2022.2.4,59.83931943
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,Prop of hit from study list,,,8,0.8,,,,,,,,
,,,Prop of hit for non primed words,,,3,0.3,,,,,,,,
,,,,,,,,,,,,,,,
,,,Priming score,0.5,,,,,,,,,,,
